,title,rating,link
92,Inglourious Basterds,8.3,https://www.imdb.com/title/tt0361748/
93,Amélie,8.3,https://www.imdb.com/title/tt0211915/
94,Double Indemnity,8.3,https://www.imdb.com/title/tt0036775/
95,Taxi Driver,8.3,https://www.imdb.com/title/tt0075314/
96,Full Metal Jacket,8.3,https://www.imdb.com/title/tt0093058/
97,Ladri di biciclette,8.3,https://www.imdb.com/title/tt0040522/
98,To Kill a Mockingbird,8.3,https://www.imdb.com/title/tt0056592/
99,Good Will Hunting,8.3,https://www.imdb.com/title/tt0119217/
100,The Kid,8.3,https://www.imdb.com/title/tt0012349/
101,The Sting,8.3,https://www.imdb.com/title/tt0070735/
102,Toy Story 3,8.3,https://www.imdb.com/title/tt0435761/
103,Jagten,8.3,https://www.imdb.com/title/tt2106476/
104,Snatch,8.3,https://www.imdb.com/title/tt0208092/
105,Scarface,8.2,https://www.imdb.com/title/tt0086250/
106,Toy Story 4,8.2,https://www.imdb.com/title/tt1979376/
107,Per qualche dollaro in più,8.2,https://www.imdb.com/title/tt0059578/
108,The Apartment,8.2,https://www.imdb.com/title/tt0053604/
109,Metropolis,8.2,https://www.imdb.com/title/tt0017136/
110,Monty Python and the Holy Grail,8.2,https://www.imdb.com/title/tt0071853/
111,L.A. Confidential,8.2,https://www.imdb.com/title/tt0119488/
112,Jodaeiye Nader az Simin,8.2,https://www.imdb.com/title/tt1832382/
113,Indiana Jones and the Last Crusade,8.2,https://www.imdb.com/title/tt0097576/
114,Up,8.2,https://www.imdb.com/title/tt1049413/
115,Rashômon,8.2,https://www.imdb.com/title/tt0042876/
116,All About Eve,8.2,https://www.imdb.com/title/tt0042192/
117,Batman Begins,8.2,https://www.imdb.com/title/tt0372784/
118,Some Like It Hot,8.2,https://www.imdb.com/title/tt0053291/
119,Yôjinbô,8.2,https://www.imdb.com/title/tt0055630/
120,Der Untergang,8.2,https://www.imdb.com/title/tt0363163/
121,Unforgiven,8.2,https://www.imdb.com/title/tt0105695/
122,Die Hard,8.2,https://www.imdb.com/title/tt0095016/
123,Heat,8.2,https://www.imdb.com/title/tt0113277/
124,Incendies,8.2,https://www.imdb.com/title/tt1255953/
125,The Treasure of the Sierra Madre,8.2,https://www.imdb.com/title/tt0040897/
126,Ikiru,8.2,https://www.imdb.com/title/tt0044741/
127,Green Book,8.2,https://www.imdb.com/title/tt6966692/
128,Raging Bull,8.2,https://www.imdb.com/title/tt0081398/
129,Bacheha-Ye aseman,8.2,https://www.imdb.com/title/tt0118849/
130,The Great Escape,8.2,https://www.imdb.com/title/tt0057115/
131,Pan's Labyrinth,8.2,https://www.imdb.com/title/tt0457430/
132,Chinatown,8.2,https://www.imdb.com/title/tt0071315/
133,Tonari no Totoro,8.2,https://www.imdb.com/title/tt0096283/
134,Hauru no ugoku shiro,8.2,https://www.imdb.com/title/tt0347149/
135,The Third Man,8.2,https://www.imdb.com/title/tt0041959/
136,Ran,8.2,https://www.imdb.com/title/tt0089881/
137,Babam ve Oglum,8.2,https://www.imdb.com/title/tt0476735/
138,Judgment at Nuremberg,8.2,https://www.imdb.com/title/tt0055031/
139,El secreto de sus ojos,8.2,https://www.imdb.com/title/tt1305806/
140,The Gold Rush,8.2,https://www.imdb.com/title/tt0015864/
141,A Beautiful Mind,8.2,https://www.imdb.com/title/tt0268978/
142,The Bridge on the River Kwai,8.2,https://www.imdb.com/title/tt0050212/
143,Casino,8.2,https://www.imdb.com/title/tt0112641/
144,"Lock, Stock and Two Smoking Barrels",8.2,https://www.imdb.com/title/tt0120735/
145,Det sjunde inseglet,8.1,https://www.imdb.com/title/tt0050976/
146,"Three Billboards Outside Ebbing, Missouri",8.1,https://www.imdb.com/title/tt5027774/
147,On the Waterfront,8.1,https://www.imdb.com/title/tt0047296/
148,The Wolf of Wall Street,8.1,https://www.imdb.com/title/tt0993846/
149,The Elephant Man,8.1,https://www.imdb.com/title/tt0080678/
150,Inside Out,8.1,https://www.imdb.com/title/tt2096673/
151,V for Vendetta,8.1,https://www.imdb.com/title/tt0434409/
152,Mr. Smith Goes to Washington,8.1,https://www.imdb.com/title/tt0031679/
153,There Will Be Blood,8.1,https://www.imdb.com/title/tt0469494/
154,Room,8.1,https://www.imdb.com/title/tt3170832/
155,Warrior,8.1,https://www.imdb.com/title/tt1291584/
156,Blade Runner,8.1,https://www.imdb.com/title/tt0083658/
157,Dial M for Murder,8.1,https://www.imdb.com/title/tt0046912/
158,No Country for Old Men,8.1,https://www.imdb.com/title/tt0477348/
159,The Sixth Sense,8.1,https://www.imdb.com/title/tt0167404/
160,Smultronstället,8.1,https://www.imdb.com/title/tt0050986/
161,The General,8.1,https://www.imdb.com/title/tt0017925/
162,Trainspotting,8.1,https://www.imdb.com/title/tt0117951/
163,Gone with the Wind,8.1,https://www.imdb.com/title/tt0031381/
164,The Thing,8.1,https://www.imdb.com/title/tt0084787/
165,Fargo,8.1,https://www.imdb.com/title/tt0116282/
166,Idi i smotri,8.1,https://www.imdb.com/title/tt0091251/
167,Andhadhun,8.1,https://www.imdb.com/title/tt8108198/
168,Finding Nemo,8.1,https://www.imdb.com/title/tt0266543/
169,Gran Torino,8.1,https://www.imdb.com/title/tt1205489/
170,The Deer Hunter,8.1,https://www.imdb.com/title/tt0077416/
171,Shutter Island,8.1,https://www.imdb.com/title/tt1130884/
172,The Big Lebowski,8.1,https://www.imdb.com/title/tt0118715/
173,Kill Bill: Vol. 1,8.1,https://www.imdb.com/title/tt0266697/
174,Sherlock Jr.,8.1,https://www.imdb.com/title/tt0015324/
175,Cool Hand Luke,8.1,https://www.imdb.com/title/tt0061512/
176,Mary and Max,8.1,https://www.imdb.com/title/tt0978762/
177,Tôkyô monogatari,8.1,https://www.imdb.com/title/tt0046438/
178,Hacksaw Ridge,8.1,https://www.imdb.com/title/tt2119532/
179,Rebecca,8.1,https://www.imdb.com/title/tt0032976/
180,Jurassic Park,8.1,https://www.imdb.com/title/tt0107290/
181,How to Train Your Dragon,8.1,https://www.imdb.com/title/tt0892769/
182,Gone Girl,8.1,https://www.imdb.com/title/tt2267998/
183,Relatos salvajes,8.1,https://www.imdb.com/title/tt3011894/
184,The Truman Show,8.1,https://www.imdb.com/title/tt0120382/
185,Stalker,8.1,https://www.imdb.com/title/tt0079944/
186,The Grand Budapest Hotel,8.1,https://www.imdb.com/title/tt2278388/
187,In the Name of the Father,8.1,https://www.imdb.com/title/tt0107207/
188,Sunrise: A Song of Two Humans,8.1,https://www.imdb.com/title/tt0018455/
189,Stand by Me,8.1,https://www.imdb.com/title/tt0092005/
190,It Happened One Night,8.1,https://www.imdb.com/title/tt0025316/
191,Salinui chueok,8.1,https://www.imdb.com/title/tt0353969/
192,Platoon,8.1,https://www.imdb.com/title/tt0091763/
193,Into the Wild,8.1,https://www.imdb.com/title/tt0758758/
194,Network,8.1,https://www.imdb.com/title/tt0074958/
195,Life of Brian,8.1,https://www.imdb.com/title/tt0079470/
196,Persona,8.1,https://www.imdb.com/title/tt0060827/
197,Ben-Hur,8.1,https://www.imdb.com/title/tt0052618/
198,12 Years a Slave,8.1,https://www.imdb.com/title/tt2024544/
