,title,rating,link
91,Extreme Movie,3.7,https://www.imdb.com/title/tt0806147/
92,Street Fighter: The Legend of Chun-Li,3.7,https://www.imdb.com/title/tt0891592/
93,Piranha 3DD,3.7,https://www.imdb.com/title/tt1714203/
94,Exorcist II: The Heretic,3.8,https://www.imdb.com/title/tt0076009/
95,Speed 2: Cruise Control,3.8,https://www.imdb.com/title/tt0120179/
96,The Adventures of Pluto Nash,3.8,https://www.imdb.com/title/tt0180052/
97,In the Name of the King: A Dungeon Siege Tale,3.8,https://www.imdb.com/title/tt0460780/
98,Furry Vengeance,3.8,https://www.imdb.com/title/tt0492389/
99,The Love Guru,3.8,https://www.imdb.com/title/tt0811138/
100,Beverly Hills Chihuahua,3.8,https://www.imdb.com/title/tt1014775/
101,Holmes & Watson,3.8,https://www.imdb.com/title/tt1255919/
102,The Human Centipede II (Full Sequence),3.8,https://www.imdb.com/title/tt1530509/
103,Recep Ivedik 4,3.8,https://www.imdb.com/title/tt3477064/
104,Escape Plan 2: Hades,3.8,https://www.imdb.com/title/tt6513656/
105,Street Fighter,3.9,https://www.imdb.com/title/tt0111301/
106,Mr. Magoo,3.9,https://www.imdb.com/title/tt0119718/
107,The Cat in the Hat,3.9,https://www.imdb.com/title/tt0312528/
108,Prom Night,3.9,https://www.imdb.com/title/tt0926129/
109,Singularity,3.9,https://www.imdb.com/title/tt7312940/
110,Plan 9 from Outer Space,4.0,https://www.imdb.com/title/tt0052077/
111,RoboCop 3,4.0,https://www.imdb.com/title/tt0107978/
112,Super Mario Bros.,4.0,https://www.imdb.com/title/tt0108255/
113,Book of Shadows: Blair Witch 2,4.0,https://www.imdb.com/title/tt0229260/
114,Material Girls,4.0,https://www.imdb.com/title/tt0433412/
115,Norbit,4.0,https://www.imdb.com/title/tt0477051/
116,One Missed Call,4.0,https://www.imdb.com/title/tt0479968/
117,Recep Ivedik 3,4.0,https://www.imdb.com/title/tt1577061/
118,Shark Night 3D,4.0,https://www.imdb.com/title/tt1633356/
119,11-11-11,4.0,https://www.imdb.com/title/tt1712159/
120,The Last Exorcism Part II,4.0,https://www.imdb.com/title/tt2034139/
121,Thugs of Hindostan,4.0,https://www.imdb.com/title/tt5970844/
122,Highlander II: The Quickening,4.1,https://www.imdb.com/title/tt0102034/
123,Beowulf,4.1,https://www.imdb.com/title/tt0120604/
124,Inspector Gadget,4.1,https://www.imdb.com/title/tt0141369/
125,Halloween: Resurrection,4.1,https://www.imdb.com/title/tt0220506/
126,Torque,4.1,https://www.imdb.com/title/tt0329691/
127,Are We Done Yet?,4.1,https://www.imdb.com/title/tt0422774/
128,The Last Airbender,4.1,https://www.imdb.com/title/tt0938283/
129,Zombie Strippers!,4.1,https://www.imdb.com/title/tt0960890/
130,Jeepers Creepers 3,4.1,https://www.imdb.com/title/tt1139592/
131,The Apparition,4.1,https://www.imdb.com/title/tt1433822/
132,Fifty Shades of Grey,4.1,https://www.imdb.com/title/tt2322441/
133,Devil's Due,4.1,https://www.imdb.com/title/tt2752758/
134,Tubelight,4.1,https://www.imdb.com/title/tt5882970/
135,Stop! Or My Mom Will Shoot,4.2,https://www.imdb.com/title/tt0105477/
136,Fair Game,4.2,https://www.imdb.com/title/tt0113010/
137,The Patriot,4.2,https://www.imdb.com/title/tt0120786/
138,Wing Commander,4.2,https://www.imdb.com/title/tt0131646/
139,The Adventures of Rocky & Bullwinkle,4.2,https://www.imdb.com/title/tt0131704/
140,Universal Soldier: The Return,4.2,https://www.imdb.com/title/tt0176269/
141,Urban Legends: Final Cut,4.2,https://www.imdb.com/title/tt0192731/
142,A Sound of Thunder,4.2,https://www.imdb.com/title/tt0318081/
143,Spy Kids 3: Game Over,4.2,https://www.imdb.com/title/tt0338459/
144,Boogeyman,4.2,https://www.imdb.com/title/tt0357507/
145,The Comebacks,4.2,https://www.imdb.com/title/tt0790804/
146,The Legend of Hercules,4.2,https://www.imdb.com/title/tt1043726/
147,Marmaduke,4.2,https://www.imdb.com/title/tt1392197/
148,Area 51,4.2,https://www.imdb.com/title/tt1519461/
149,The Devil Inside,4.2,https://www.imdb.com/title/tt1560985/
150,A Wrinkle in Time,4.2,https://www.imdb.com/title/tt1620680/
151,The Gallows,4.2,https://www.imdb.com/title/tt2309260/
152,Vice,4.2,https://www.imdb.com/title/tt3480796/
153,V/H/S Viral,4.2,https://www.imdb.com/title/tt3704538/
154,Grease 2,4.3,https://www.imdb.com/title/tt0084021/
155,Police Academy 6: City Under Siege,4.3,https://www.imdb.com/title/tt0098105/
156,Jason Goes to Hell: The Final Friday,4.3,https://www.imdb.com/title/tt0107254/
157,Look Who's Talking Now,4.3,https://www.imdb.com/title/tt0107438/
158,Thunderbirds,4.3,https://www.imdb.com/title/tt0167456/
159,Zoom,4.3,https://www.imdb.com/title/tt0383060/
160,Fat Albert,4.3,https://www.imdb.com/title/tt0396592/
161,Basic Instinct 2,4.3,https://www.imdb.com/title/tt0430912/
162,Cell,4.3,https://www.imdb.com/title/tt0775440/
163,Cabin Fever 2: Spring Fever,4.3,https://www.imdb.com/title/tt0961722/
164,College Road Trip,4.3,https://www.imdb.com/title/tt0997047/
165,Ghost Rider: Spirit of Vengeance,4.3,https://www.imdb.com/title/tt1071875/
166,Cats & Dogs: The Revenge of Kitty Galore,4.3,https://www.imdb.com/title/tt1287468/
167,Movie 43,4.3,https://www.imdb.com/title/tt1333125/
168,Recep Ivedik 2,4.3,https://www.imdb.com/title/tt1373215/
169,Fantastic Four,4.3,https://www.imdb.com/title/tt1502712/
170,Yoga Hosers,4.3,https://www.imdb.com/title/tt3838992/
171,Exposed,4.3,https://www.imdb.com/title/tt4019560/
172,The Bye Bye Man,4.3,https://www.imdb.com/title/tt4030600/
173,Supergirl,4.4,https://www.imdb.com/title/tt0088206/
174,Critters 3,4.4,https://www.imdb.com/title/tt0101627/
175,Body of Evidence,4.4,https://www.imdb.com/title/tt0106453/
176,Highlander III: The Sorcerer,4.4,https://www.imdb.com/title/tt0110027/
177,The Next Karate Kid,4.4,https://www.imdb.com/title/tt0110657/
178,North,4.4,https://www.imdb.com/title/tt0110687/
179,Bio-Dome,4.4,https://www.imdb.com/title/tt0115683/
180,Striptease,4.4,https://www.imdb.com/title/tt0117765/
181,Home Alone 3,4.4,https://www.imdb.com/title/tt0119303/
182,Species II,4.4,https://www.imdb.com/title/tt0120841/
183,Nutty Professor II: The Klumps,4.4,https://www.imdb.com/title/tt0144528/
184,Jason X,4.4,https://www.imdb.com/title/tt0211443/
185,Kangaroo Jack,4.4,https://www.imdb.com/title/tt0257568/
186,xXx: State of the Union,4.4,https://www.imdb.com/title/tt0329774/
187,Ultraviolet,4.4,https://www.imdb.com/title/tt0370032/
188,The Shaggy Dog,4.4,https://www.imdb.com/title/tt0393735/
189,Little Man,4.4,https://www.imdb.com/title/tt0430304/
190,Hannah Montana: The Movie,4.4,https://www.imdb.com/title/tt1114677/
191,Madea Goes to Jail,4.4,https://www.imdb.com/title/tt1142800/
192,Sex and the City 2,4.4,https://www.imdb.com/title/tt1261945/
193,"Big Mommas: Like Father, Like Son",4.4,https://www.imdb.com/title/tt1464174/
194,The Human Centipede (First Sequence),4.4,https://www.imdb.com/title/tt1467304/
195,Skyline,4.4,https://www.imdb.com/title/tt1564585/
196,LOL,4.4,https://www.imdb.com/title/tt1592873/
197,Alvin and the Chipmunks: Chipwrecked,4.4,https://www.imdb.com/title/tt1615918/
198,Setup,4.4,https://www.imdb.com/title/tt1748197/
199,The Darkness,4.4,https://www.imdb.com/title/tt1878841/
200,Getaway,4.4,https://www.imdb.com/title/tt2167202/
201,Paul Blart: Mall Cop 2,4.4,https://www.imdb.com/title/tt3450650/
202,God's Not Dead 2,4.4,https://www.imdb.com/title/tt4824308/
203,Police Academy 5: Assignment: Miami Beach,4.5,https://www.imdb.com/title/tt0095882/
204,On Deadly Ground,4.5,https://www.imdb.com/title/tt0110725/
205,Vampire in Brooklyn,4.5,https://www.imdb.com/title/tt0114825/
